SHIP_ID,ITINERARY_ID,DURATION,CRUISE_AREA
150012,388311,7,Western Mediterranean
150012,388313,7,Western Mediterranean
150012,388315,7,Western Mediterranean
150012,299559,7,Caribbean & Central America
150012,299565,7,Caribbean & Central America
150012,299569,7,Caribbean & Central America
150012,299575,7,Caribbean & Central America
150012,299579,7,Caribbean & Central America
150012,299585,7,Caribbean & Central America
150012,299109,7,Western Mediterranean
150012,299111,7,Western Mediterranean
150012,299117,7,Western Mediterranean
150012,299119,7,Western Mediterranean
150012,299125,7,Western Mediterranean
150012,299127,7,Western Mediterranean
150012,299133,7,Western Mediterranean
150012,299135,7,Western Mediterranean
150012,308093,7,Western Mediterranean
150012,308095,7,Western Mediterranean
150012,308097,7,Western Mediterranean
150012,308101,7,Western Mediterranean
150012,307677,14,Western Mediterranean
150012,301049,7,Caribbean & Central America
150012,301053,7,Caribbean & Central America
150012,306923,7,Western Mediterranean
150012,306927,7,Western Mediterranean
150012,306931,7,Western Mediterranean
150012,306935,7,Western Mediterranean
150012,335949,14,Asia
150012,335951,14,Asia
150012,335953,14,Asia
150012,335947,14,Arabia & the Red Sea
150012,300669,7,Caribbean & Central America
150012,300671,7,Caribbean & Central America
150012,300677,7,Caribbean & Central America
150012,300679,7,Caribbean & Central America
150012,300685,7,Caribbean & Central America
150012,300687,7,Caribbean & Central America
150012,300693,7,Caribbean & Central America
150012,300695,7,Caribbean & Central America
150012,300701,15,Caribbean & Central America
150012,300703,15,Caribbean & Central America
150012,300709,13,Caribbean & Central America
150012,308247,7,Caribbean & Central America
150012,308251,7,Caribbean & Central America
150012,301177,7,Caribbean & Central America
150012,301179,7,Caribbean & Central America
150012,301181,7,Caribbean & Central America
150012,301183,7,Caribbean & Central America
150012,308255,7,Caribbean & Central America
150012,308259,7,Caribbean & Central America
150012,308261,7,Caribbean & Central America
150012,301193,7,Caribbean & Central America
150012,301195,7,Caribbean & Central America
150012,308265,7,Caribbean & Central America
150012,301201,7,Caribbean & Central America
150012,301203,7,Caribbean & Central America
150012,301209,7,Caribbean & Central America
150012,301211,7,Caribbean & Central America
150012,308273,7,Caribbean & Central America
150012,301217,7,Caribbean & Central America
150012,301219,7,Caribbean & Central America
150012,301221,7,Caribbean & Central America
150012,308277,7,Caribbean & Central America
150012,301227,7,Caribbean & Central America
150012,301233,7,Caribbean & Central America
150012,301235,7,Caribbean & Central America
150012,300913,7,Western Mediterranean
150012,337923,14,Asia
150012,337925,14,Asia
150012,337927,14,Asia
150012,337929,14,Asia
150012,337931,14,Asia
150012,337933,14,Asia
150012,337935,14,Asia
150012,337937,14,Asia
150012,337939,14,Asia
150012,337941,14,Asia
150012,308157,7,Caribbean & Central America
150012,308161,7,Caribbean & Central America
150012,308165,7,Caribbean & Central America
150012,308169,7,Caribbean & Central America
150012,308197,7,Western Mediterranean
150012,308203,7,Western Mediterranean
150012,307391,7,Western Mediterranean
150012,333919,7,Western Mediterranean
150012,333947,14,Arabia & the Red Sea
150012,333949,15,Arabia & the Red Sea
150012,333951,14,Arabia & the Red Sea
150012,333953,15,Arabia & the Red Sea
150012,333955,15,Arabia & the Red Sea
150012,333957,14,Arabia & the Red Sea
150012,333959,14,Arabia & the Red Sea
150012,333961,14,Arabia & the Red Sea
150012,333963,14,Arabia & the Red Sea
150012,389223,7,Caribbean & Central America
150012,389225,7,Caribbean & Central America
150012,389227,7,Caribbean & Central America
150012,389229,7,Caribbean & Central America
150012,389231,7,Caribbean & Central America
150012,389233,7,Caribbean & Central America
150012,389251,7,Western Mediterranean
150012,389253,7,Western Mediterranean
150012,389289,7,Caribbean & Central America
150012,389291,7,Caribbean & Central America
150012,389293,7,Caribbean & Central America
150012,389295,7,Caribbean & Central America
150012,389297,7,Caribbean & Central America
150012,389299,7,Caribbean & Central America
150012,389301,7,Caribbean & Central America
150012,387451,7,Western Mediterranean
150012,387453,7,Western Mediterranean
150012,387455,7,Western Mediterranean
150012,387457,7,Western Mediterranean
150012,339909,14,Asia
150012,388093,7,Caribbean & Central America
150012,388095,7,Caribbean & Central America
150012,388097,7,Caribbean & Central America
150012,388099,7,Caribbean & Central America
150012,388101,7,Caribbean & Central America
150012,388103,7,Caribbean & Central America
150012,388105,7,Caribbean & Central America
150012,388107,7,Caribbean & Central America
150012,388109,7,Caribbean & Central America
150012,388111,7,Caribbean & Central America
150012,388113,7,Caribbean & Central America
150012,388115,7,Caribbean & Central America
150012,364507,7,Caribbean & Central America
150012,337189,14,Asia
150012,387885,14,Arabia & the Red Sea
150012,387887,14,Arabia & the Red Sea
150012,387889,14,Arabia & the Red Sea
150012,387891,14,Arabia & the Red Sea
150012,387893,14,Arabia & the Red Sea
150012,387895,14,Arabia & the Red Sea
150012,387897,14,Arabia & the Red Sea
150012,387899,14,Arabia & the Red Sea
150012,387901,14,Arabia & the Red Sea
150012,387903,15,Arabia & the Red Sea
150012,387905,15,Arabia & the Red Sea
150012,387907,15,Arabia & the Red Sea
