EXCURSION_ID,SEQ,CAPTION,URL
989409,2,,https://media.thomson.co.uk/asset/lpp/v01/124/400.jpg
989409,3,Nelsons statue Bridgetown Barbados,https://media.thomson.co.uk/asset/lpp/v00/831/755.jpg
989409,4,Pebbles Beach Barbados,https://media.thomson.co.uk/asset/lpp/v01/124/410.jpg
989409,5,Nelsons statue Bridgetown Barbados,https://media.thomson.co.uk/asset/lpp/v00/831/743.jpg
989409,6,Parliament building Bridgetown Barbados,https://media.thomson.co.uk/asset/lpp/v00/831/741.jpg
972475,1,,https://media.thomson.co.uk/asset/lpp/v00/850/842.jpg
972475,2,,https://media.thomson.co.uk/asset/lpp/v01/095/934.jpg
970149,1,Bathsheba Barbados,https://media.thomson.co.uk/asset/lpp/v01/168/086.jpg
970149,2,Bathsheba Barbados,https://media.thomson.co.uk/asset/lpp/v01/168/084.jpg
970149,3,Bridgetown Barbados,https://media.thomson.co.uk/asset/lpp/v01/168/114.jpg
970149,4,Bridgetown Barbados,https://media.thomson.co.uk/asset/lpp/v01/168/112.jpg
987285,1,,https://media.thomson.co.uk/asset/lpp/v00/533/499.jpg
987285,2,Image shown for illustrative purposes only,https://media.thomson.co.uk/asset/lpp/v00/990/768.jpg
987285,3,,https://media.thomson.co.uk/asset/lpp/v00/480/364.jpg
987285,4,,https://media.thomson.co.uk/asset/lpp/v00/781/714.jpg
987759,1,Samaria Gorge Crete Greece,https://media.thomson.co.uk/asset/lpp/v01/082/664.jpg
987759,2,Samaria Gorge Crete Greece,https://media.thomson.co.uk/asset/lpp/v01/082/698.jpg
987759,3,Omalos Plateau Crete Greece,https://media.thomson.co.uk/asset/lpp/v01/190/391.jpg
987759,4,Omalos Plateau Crete Greece,https://media.thomson.co.uk/asset/lpp/v01/190/395.jpg
987760,1,Church in Agia Triada Monastery Crete,https://media.thomson.co.uk/asset/lpp/v01/080/395.jpg
987760,2,Harbour Chania Crete,https://media.thomson.co.uk/asset/lpp/v01/080/399.jpg
987760,3,Agia Triada Monastery Crete,https://media.thomson.co.uk/asset/lpp/v01/080/391.jpg
987760,4,City of Chania Crete,https://media.thomson.co.uk/asset/lpp/v01/080/403.jpg
987761,1,Holy Monastery of Arcadi Chania Crete,https://media.thomson.co.uk/asset/lpp/v01/190/399.jpg
987761,2,Rethymnon City and the Old Venetian Port Crete,https://media.thomson.co.uk/asset/lpp/v01/080/417.jpg
987761,3,Holy Monastery of Arcadi Chania Crete,https://media.thomson.co.uk/asset/lpp/v01/190/397.jpg
987761,4,,https://media.thomson.co.uk/asset/lpp/v01/190/393.jpg
971665,1,Limnoupolis Waterpark Chania Crete,https://media.thomson.co.uk/asset/lpp/v00/822/838.jpg
971665,2,Image shown for illustrative purposes,https://media.thomson.co.uk/asset/lpp/v00/999/373.jpg
993903,1,,https://media.thomson.co.uk/asset/lpp/v00/892/771.jpg
993903,2,,https://media.thomson.co.uk/asset/lpp/v00/892/781.jpg
993903,3,,https://media.thomson.co.uk/asset/lpp/v00/892/777.jpg
993904,1,,https://media.thomson.co.uk/asset/lpp/v00/893/098.jpg
993904,2,,https://media.thomson.co.uk/asset/lpp/v00/893/104.jpg
993904,3,,https://media.thomson.co.uk/asset/lpp/v00/893/102.jpg
993904,4,Blockhouse Ruins,https://media.thomson.co.uk/asset/lpp/v00/984/100.jpg
993904,5,Shirleys Heights,https://media.thomson.co.uk/asset/lpp/v00/984/066.jpg
993904,6,Eric Claptons house,https://media.thomson.co.uk/asset/lpp/v00/984/078.jpg
993905,1,,https://media.thomson.co.uk/asset/lpp/v00/984/114.jpg
993905,2,,https://media.thomson.co.uk/asset/lpp/v00/892/984.jpg
993905,3,,https://media.thomson.co.uk/asset/lpp/v00/984/082.jpg
993905,4,,https://media.thomson.co.uk/asset/lpp/v00/984/112.jpg
993905,5,Kermit Trail,https://media.thomson.co.uk/asset/lpp/v00/984/068.jpg
993905,6,,https://media.thomson.co.uk/asset/lpp/v00/984/072.jpg
993905,7,,https://media.thomson.co.uk/asset/lpp/v00/892/988.jpg
993906,1,,https://media.thomson.co.uk/asset/lpp/v00/886/359.jpg
993906,2,,https://media.thomson.co.uk/asset/lpp/v00/834/041.jpg
993906,3,,https://media.thomson.co.uk/asset/lpp/v00/886/357.jpg
993906,4,,https://media.thomson.co.uk/asset/lpp/v00/886/361.jpg
993906,5,,https://media.thomson.co.uk/asset/lpp/v00/886/365.jpg
993906,6,,https://media.thomson.co.uk/asset/lpp/v00/886/367.jpg
993906,7,,https://media.thomson.co.uk/asset/lpp/v00/886/373.jpg
993906,8,,https://media.thomson.co.uk/asset/lpp/v00/886/371.jpg
993907,1,,https://media.thomson.co.uk/asset/lpp/v00/893/108.jpg
993907,2,,https://media.thomson.co.uk/asset/lpp/v00/893/110.jpg
993907,3,,https://media.thomson.co.uk/asset/lpp/v00/893/112.jpg
993907,4,,https://media.thomson.co.uk/asset/lpp/v01/151/652.jpg
993907,5,Excellence,https://media.thomson.co.uk/asset/lpp/v00/984/092.jpg
993907,6,Excellence,https://media.thomson.co.uk/asset/lpp/v00/984/098.jpg
993907,7,Excellence,https://media.thomson.co.uk/asset/lpp/v00/984/064.jpg
993907,8,Excellence,https://media.thomson.co.uk/asset/lpp/v00/984/088.jpg
993907,9,Excellence,https://media.thomson.co.uk/asset/lpp/v00/984/120.jpg
993907,10,Excellence,https://media.thomson.co.uk/asset/lpp/v00/984/056.jpg
993907,11,Excellence,https://media.thomson.co.uk/asset/lpp/v00/984/102.jpg
